station,postcode,latitude,longitude,tlc,nlc,stanox,tiploc
Stallingborough,DN41 8AS,53.5870938546334,-0.183666799938627,SLL,6287.0,21027,SBROUGH
Stalybridge,SK15 1RF,53.4845810420246,-2.0627417832948,SYB,2983.0,32111,SBYD
Stamford (Lincs),PE9 2WB,52.6478311145957,-0.480115236289199,SMD,6140.0,45008,STAMFD
Stamford Hill,N16 5AG,51.574465812676,-0.0766820047621084,SMH,6968.0,51961,STMFDHL
Stanford-Le-Hope,SS17 0JX,51.5143612016566,0.423035734780072,SFO,7458.0,51023,SLEHOPE
Stanlow and Thornton,CH2 4NU,53.2783654922773,-2.84205190690918,SNT,2159.0,38372,STNLWAT
Stansted Airport,CM24 1QW,51.8885889341543,0.260815495353557,SSD,6834.0,47344,STANAIR
Stansted Mountfitchet,CM24 8BE,51.9014363301533,0.199780866318576,SST,6833.0,47342,STANMFC
Staplehurst,TN12 0QR,51.1714648067343,0.550438387685807,SPU,5228.0,89326,SPHS
Stapleton Road,BS5 6NE,51.4675092821763,-2.566217217443,SRD,3250.0,81403,STPLTNR
Starbeck,HG2 7JA,53.998999728646,-1.50112979052197,SBE,8221.0,16109,STARBCK
Starcross,EX6 8PA,50.6278016926208,-3.44770487395091,SCS,3413.0,83602,STRCROS
Staveley (Cumbria),LA8 9NG,54.3755355131735,-2.81886297219457,SVL,1977.0,11003,STAVELY
Stechford,B33 8AJ,52.4848220974671,-1.81102551325665,SCF,1043.0,65611,STECHFD
Steeton and Silsden,BD20 6RY,53.900033476049,-1.94471976544211,SON,8469.0,17009,STEETON
Stepps,G33 6AT,55.8901413635032,-4.140808469037,SPS,9842.0,06503,STEPPS
Stevenage,SG1 1XT,51.9016861847805,-0.20710946588827,SVG,6092.0,53223,STEVNGE
Stevenston,KA20 3DP,55.6342848348239,-4.75079080519078,STV,9553.0,08123,STVNSTN
Stewartby,MK43 9LY,52.0690788348597,-0.520692242001966,SWR,1386.0,62043,STWRTBY
Stewarton,KA3 5BD,55.6821593947152,-4.51805863331251,STT,9554.0,08703,STEWRTN
Stirling,FK8 1PF,56.1198213876306,-3.93562037499951,STG,9888.0,03401,STIRLNG
Stockport,SK3 9HZ,53.4055402997044,-2.16301336341374,SPT,2771.0,32534,STKP
Stocksfield,NE43 7NQ,54.9470499083176,-1.91675942679051,SKS,7513.0,13321,STCKSFL
Stocksmoor,HD4 6XN,53.5940882995361,-1.72324804140126,SSM,8451.0,18494,STKSMR
Stockton,TS18 2AJ,54.5696227714804,-1.31854324338172,STK,7975.0,15223,STOCTON
Stoke Mandeville,HP22 5UA,51.7877951274789,-0.784086295784938,SKM,1467.0,70358,STKM
Stoke Newington,N16 6YA,51.5652311923438,-0.0728874334121679,SKW,6934.0,51963,STKNWNG
Stoke-On-Trent,ST4 2AA,53.0079819568062,-2.18098761149091,SOT,1314.0,43211,STOKEOT
Stone (Staffs),ST15 8ER,52.9083279915954,-2.15504144060965,SNE,1316.0,43308,STONE
Stone Crossing,DA9 9AR,51.4513283410679,0.263771152840603,SCG,5248.0,88697,STCR
Stonebridge Park,NW10 0RL,51.5441097452189,-0.275828430558503,SBP,1454.0,72031,STNBGPK
Stonegate,TN5 7ER,51.0199653883469,0.363868113942471,SOG,5240.0,89393,SNGT
Stonehaven,AB39 2NE,56.9668253865208,-2.22529734201393,STN,8964.0,02113,SHVN
Stonehouse,GL10 2JW,51.7458896835245,-2.27949881299272,SHU,4770.0,68159,STNHSE
Stoneleigh,KT17 2JA,51.3633993582655,-0.248665216147388,SNL,5606.0,87303,STLEIGH
Stourbridge Junction,DY8 1NH,52.4475436828349,-2.13387655974941,SBJ,4646.0,65933,STRBDGJ
Stourbridge Town,DY8 1EX,52.4555804798922,-2.14181816863998,SBT,4643.0,65939,STRBDGT
Stow,TD1 2SQ,55.6924237566432,-2.86594947559365,SOI,9396.0,04713,STOW
Stowmarket,IP14 1RQ,52.1897097345051,1.00000524469225,SMK,7355.0,49014,STWMRKT
Stranraer,DG9 8EJ,54.9096085950596,-5.02473883449879,STR,9555.0,08653,STRNRR
Stratford,E15 1AZ,51.5418933693822,-0.0033967410510129,SRA,6969.0,52226,STFD
