station,postcode,latitude,longitude,tlc,nlc,stanox,tiploc
Abbey Wood,SE2 9RH,51.4910605627019,0.121394025366647,ABW,5131.0,88601,ABWD
Aber,CF83 1AQ,51.5749691125956,-3.22982905106563,ABE,3813.0,78371,ABER
Abercynon,CF45 4SE,51.6447124034837,-3.32698855170195,ACY,3801.0,78204,ABRCYNS
Aberdare,CF44 0PU,51.7150618291708,-3.44308409477462,ABA,3982.0,78100,ABDARE
Aberdeen,AB11 6LX,57.1437058328662,-2.09868538622245,ABD,8976.0,02071,ABRDEEN
Aberdour,KY3 0SN,56.0545955695197,-3.30056061487314,AUR,9090.0,03295,ABDO
Aberdovey,LL35 0NR,52.5439615025967,-4.05706796158074,AVY,4435.0,64409,ABDVY
Abererch,LL53 6PJ,52.8985884658899,-4.37417647351973,ABH,4440.0,64506,ABRE
Abergavenny,NP7 5HS,51.8166930409601,-3.00964730040687,AGV,3602.0,76251,ABRGVNY
Abergele and Pensarn,LL22 7PR,53.2945771647609,-3.58262268840784,AGL,2448.0,40073,ABGLELE
Aberystwyth,SY23 1LH,52.4140498933205,-4.08189442746786,AYW,4303.0,64607,ABRYSTH
Accrington,BB5 1LJ,53.7529733751372,-2.36954810226505,ACR,2552.0,29061,ACRNGTN
Achanalt,IV23 2QD,57.6096018732679,-4.91385256332031,AAT,8600.0,01081,ACHANLT
Achnasheen,IV22 2EJ,57.5792959197415,-5.07233352893289,ACN,8601.0,01079,ACHNSHN
Achnashellach,IV54 8YH,57.4820809030767,-5.33305678830677,ACH,8602.0,01078,ACHHSHL
Acklington,NE65 4DE,55.3070993237817,-1.65183479633575,ACK,7662.0,12115,ACKLNGT
Acle,NR13 3BZ,52.6346777628319,1.54391497575916,ACL,7286.0,48056,ACLE
Acocks Green,B27 6EB,52.4493240670217,-1.81897562150643,ACG,4529.0,66430,ACOCKSG
Acton Bridge (Cheshire),CW8 2RE,53.2665097605329,-2.60312690733168,ACB,2287.0,37001,ACBG
Acton Central,W3 6BH,51.5087150057177,-0.262970693276422,ACC,1404.0,72252,ACTNCTL
Acton Main Line,W3 9EH,51.5171788796431,-0.266756440210259,AML,3000.0,73240,ACTONML
Adderley Park,B9 4TG,52.4830872932844,-1.85594463679675,ADD,1036.0,65614,ADERLYP
Addiewell,EH55 8NQ,55.8434130805542,-3.60652712168835,ADW,9310.0,04090,ADIEWEL
Addlestone,KT15 2PB,51.3730447500684,-0.48445679693337,ASN,5550.0,86011,ADLESTN
Adisham,CT3 3JE,51.2411978022143,1.19908904695378,ADM,5160.0,89514,ADISHAM
Adlington (Cheshire),SK10 4NA,53.3195557900317,-2.13356274381038,ADC,2939.0,32575,ADLC
Adlington (Lancashire),PR6 9RS,53.6132468473224,-2.6030711963325,ADL,2641.0,30321,ADNL
Adwick,DN6 7AJ,53.5723210050351,-1.180356329611,AWK,8353.0,23118,ADWICK
Aigburth,L17 6AG,53.3645680055959,-2.92715540113816,AIG,2255.0,36086,AIGBURT
Ainsdale,PR8 3HJ,53.6020355257546,-3.04265252059266,ANS,2350.0,36062,AINSDAL
Aintree,L9 5BE,53.4739127558616,-2.95628079876913,AIN,2125.0,36027,AINTREE
Airbles,ML1 2SX,55.7828378389089,-3.99419330717581,AIR,9695.0,07476,AIRBLES
Airdrie,ML6 9EX,55.8639835131324,-3.98291292517007,ADR,9759.0,07327,AIRDRIE
Albany Park,DA5 3HP,51.4354507399114,0.12573706592842,AYP,5132.0,88462,ALBNYPK
Albrighton,WV7 3DS,52.6379442676754,-2.26890024505565,ALB,4614.0,65033,ALBRGHT
Alderley Edge,SK9 7QA,53.3037821045932,-2.23679936267512,ALD,2760.0,32581,ALDEDGE
Aldermaston,RG7 4LB,51.4019618556841,-1.1374239270022,AMT,3145.0,74714,ALDMSTN
Aldershot,GU11 1HN,51.2464179114788,-0.759859888333875,AHT,5623.0,87031,ALDRSHT
Aldrington,BN3 5AE,50.8363824121951,-0.183821512855377,AGT,5280.0,87985,ALDTON
Alexandra Palace,N22 7ST,51.5979224924556,-0.120235220128854,AAP,6025.0,54103,ALEXNDP
Alexandra Parade,G31 3JN,55.8631759802332,-4.21064896878422,AXP,9905.0,06525,ALXPD
Alexandria,G83 0UL,55.9850887680667,-4.57748537031666,ALX,9861.0,06123,ALXANDR
Alfreton,DE55 7JQ,53.1004322999438,-1.36969621564025,ALF,1805.0,56127,ALFRETN
Allens West,TS16 0PF,54.5246233650745,-1.36111683481751,ALW,7520.0,15702,ALLENSW
Alloa,FK10 1BA,56.1177936041036,-3.79005640302655,ALO,9883.0,03375,ALLOA
Alness,IV17 0SE,57.6943991747966,-4.24971726526612,ASS,8605.0,01058,ALNESS
Alnmouth,NE66 3QF,55.3927786386397,-1.63663783937358,ALM,7787.0,12112,ALNMOTH
Alresford (Essex),CO7 8AA,51.8539974379073,0.997436403040026,ALR,6847.0,50027,ALRESFD
Alsager,ST7 2XW,53.0930054110113,-2.29905784069112,ASG,1223.0,42412,ALSAGER
Althorne (Essex),CM3 6DG,51.6478675266105,0.75248341471277,ALN,6869.0,50305,ALTHORN
Althorpe,DN17 3HL,53.5855003548442,-0.733182290833722,ALP,6532.0,22075,ALTPE
Altnabreac,KW12 6UR,58.3881525009701,-3.7062809681672,ABC,8606.0,01010,ALTNBRC
Alton,GU34 2PZ,51.1519686627366,-0.966913302570746,AON,5544.0,87021,ALTON
Altrincham,WA14 1EN,53.3877187203289,-2.34688910433965,ALT,2806.0,37225,ALTRNHM
Alvechurch,B48 7SE,52.3460721156993,-1.96766073187852,ALV,1198.0,66527,ALVCHRC
Ambergate,DE56 2EN,53.0605170840145,-1.48069758186533,AMB,1678.0,57013,AMBERGT
Amberley,BN18 9LT,50.8966791881016,-0.541992407726222,AMY,5250.0,87957,AMLY
Amersham,HP6 5AZ,51.6742050968552,-0.607596139216709,AMR,506.0,70361,AMERSHM
Ammanford,SA18 2DD,51.7959795450084,-3.99673575596767,AMF,4236.0,79064,AMMANFD
Ancaster,NG32 3RA,52.9876865844111,-0.535623734022494,ANC,6358.0,44101,ANCASTR
Anderston,G3 8RR,55.8599021238713,-4.27098003165416,AND,9965.0,07253,ANDRSTN
Andover,SP10 3HW,51.2115476149434,-1.49223307188506,ADV,5510.0,86074,ANDOVER
Anerley,SE20 8PY,51.4121513855632,-0.0658859220340606,ANZ,5397.0,87644,ANERLEY
Angmering,BN16 3RE,50.8165743892467,-0.489394019247872,ANG,5267.0,87998,ANGMRNG
Annan,DG12 6AS,54.9838388790739,-3.2625810423293,ANN,9451.0,09033,ANNAN
Anniesland,G12 0AY,55.8893555064876,-4.32195784208586,ANL,9972.0,06222,ANSL
Ansdell and Fairhaven,FY8 1AG,53.7414654744213,-2.99303444657805,AFV,2662.0,30037,ANSDELL
Apperley Bridge,BD10 0FD,53.8417501065548,-1.70582867126391,APY,8562.0,17050,APERLYB
Appleby,CA16 6TT,54.5803488158896,-2.48669258391647,APP,2052.0,09426,APBY
Appledore (Kent),TN26 2DG,51.0332342031393,0.816341504124954,APD,5003.0,89432,APDR
Appleford,OX14 4PJ,51.6396415502262,-1.24214153179695,APF,3109.0,74340,APPLEFD
Appley Bridge,WN6 9AE,53.5786734960166,-2.71925251339081,APB,2396.0,35050,APLYBDG
Apsley,HP3 9SX,51.7325208234117,-0.462934812195194,APS,1430.0,71023,APSLEY
Arbroath,DD11 1RQ,56.5595762979872,-2.58893177406225,ARB,9079.0,03023,ARBROTH
Ardgay,IV24 3AQ,57.8814576101148,-4.36209023833324,ARD,8613.0,01041,ARDGAY
Ardlui,G83 7DT,56.3019723653141,-4.72165858161935,AUI,9962.0,06059,ARDLUI
Ardrossan Harbour,KA22 8BH,55.6398782290401,-4.82111163323781,ADS,9453.0,08208,ARDRSHB
Ardrossan South Beach,KA22 8AU,55.641422142645,-4.80121264089138,ASB,9569.0,08198,ARDRSSB
Ardrossan Town,KA22 8AU,55.6397124556587,-4.81267645169651,ADN,9455.0,08204,ARDRSTN
Ardwick,M12 6LY,53.471345820655,-2.21388417456067,ADK,2960.0,32045,ARDWICK
Argyle Street,G2 8DL,55.8573090626122,-4.25069486323156,AGS,9961.0,07259,ARGYLST
Arisaig,PH39 4NJ,56.9125537431151,-5.83907949880085,ARG,8821.0,06004,ARISAIG
Arlesey,SG15 6XA,52.0260300130868,-0.266319838272065,ARL,6171.0,53201,ARLSEY
Armadale (West Lothian),EH48 3LP,55.8857140292087,-3.69541334262219,ARM,990.0,07324,ARMDALE
Armathwaite,CA4 9PL,54.8094679848183,-2.77207147292765,AWT,2054.0,09415,ARMTHWT
Arnside,LA5 0HQ,54.2027315043991,-2.82824189170434,ARN,1963.0,11403,ARNSIDE
Arram,HU17 7NR,53.8843427696163,-0.426570132093475,ARR,8045.0,19019,ARRAM
Arrochar and Tarbet,G83 7DB,56.2039766194239,-4.72277124702392,ART,9963.0,06101,ARCHRAT
Arundel,BN18 9PH,50.84821399905,-0.546174298416944,ARU,5251.0,87958,ARUNDEL
Ascot (Berks),SL5 9EG,51.406243053303,-0.675833255037063,ACT,5666.0,87103,ASCOT
Ascott-Under-Wychwood,OX3 5LP,51.8673416456497,-1.56405280921503,AUW,3003.0,74463,ASCTUWD
Ash,GU12 6JW,51.2495967734882,-0.712805474371656,ASH,5641.0,87014,ASHH
Ash Vale,GU12 5LP,51.2722464128127,-0.72164859629209,AHV,5547.0,87041,ASHVALE
Ashburys,M12 5BY,53.471639721401,-2.19443661452133,ABY,2941.0,32050,ASHBRYS
Ashchurch for Tewkesbury,GL20 8TU,51.9989057939667,-2.10876020926952,ASC,4700.0,68071,ASHCHRC
Ashfield,G22 6LR,55.8889269328418,-4.24921509407071,ASF,9953.0,06245,ASFIELD
Ashford (Surrey),TW15 2QN,51.4365062586203,-0.468070995385795,AFS,5667.0,87117,ASFDMSX
Ashford International,TN23 1EZ,51.1437026741936,0.876197214386404,AFK,5004.0,89428,ASHFKY
Ashington,NE63 9XE,55.182,-1.573,ASL,7608.0,12263,ASHGTN
Ashley,WA14 3QE,53.3557258053839,-2.34146074338483,ASY,2850.0,37223,ASHLEY
Ashley Down,BS7 9LB,51.4788,-2.5767,ASD,5548.0,81402,ASHYDN
Ashtead,KT21 2DR,51.317872587997,-0.307571763628547,AHD,5347.0,87683,ASHD
Ashton-Under-Lyne,OL6 6JP,53.4912746360398,-2.09431253377749,AHN,2790.0,32115,ASHONUL
Ashurst (Kent),TN3 9TL,51.1286608253579,0.152652111896866,AHS,5398.0,87763,ASHURST
Ashurst New Forest,SO40 7AA,50.8898511647037,-1.52663085660955,ANF,5906.0,86893,LYNDHRD
Ashwell and Morden,SG7 5RT,52.0307706434447,-0.109788918120069,AWM,6083.0,53011,ASHWELC
Askam,LA16 7EN,54.1889331625586,-3.20451175494515,ASK,1953.0,11225,ASKAM
Aslockton,NG13 9AA,52.9515495737311,-0.898097621841918,ALK,6233.0,44517,ASLCKTN
Aspatria,CA7 2AW,54.7589599137074,-3.33187421074512,ASP,2095.0,10021,ASPTRIA
Aspley Guise,MK17 8XF,52.0212361960308,-0.632334507265971,APG,1380.0,62051,ASPLEYG
Aston,B6 7PR,52.5042320347358,-1.8719337575538,AST,1004.0,65651,ASTON
Atherstone,CV9 1BH,52.5789720633612,-1.55281147568713,ATH,1074.0,69009,ATHRSTN
Atherton,M46 9RH,53.5291462480773,-2.47897234425216,ATN,2584.0,35139,ATHERTN
Attadale,IV54 8YX,57.3950433711996,-5.4555786528295,ATT,8608.0,01076,ATADALE
Attenborough,NG9 6AL,52.9062133028873,-1.23141560765685,ATB,1624.0,55202,ATNBRO
Attleborough,NR17 2AS,52.5145445883409,1.02234755537498,ATL,7367.0,48501,ATTLBON
Auchinleck,KA18 2BH,55.4702784722357,-4.29535018687193,AUK,9457.0,08825,ACHILCK
Audley End,CB11 4LB,52.0044405435161,0.207160027997398,AUD,7017.0,47321,AUDLEYE
Aughton Park,L39 5BT,53.5542504500956,-2.89522128047861,AUG,2215.0,36005,AGHTNPH
Aviemore,PH22 1PD,57.1885162452285,-3.82886797624022,AVM,8610.0,01144,AVIEMRE
Avoncliff,BA15 2HD,51.3396528744674,-2.28132558221387,AVF,3265.0,82073,AVNCLFF
Avonmouth,BS11 9JB,51.5003648679963,-2.69946651797304,AVN,3200.0,81240,AVONMTH
Axminster,EX13 5PF,50.7792744117621,-3.00472359764506,AXM,5714.0,83466,AXMNSTR
Aylesbury,HP20 1RU,51.8138902206829,-0.815095998270687,AYS,1492.0,70353,AYLSBRY
Aylesbury Vale Parkway,HP18 0PS,51.8311587338339,-0.860182437861177,AVP,1090.0,70355,AYLSPWY
Aylesford,ME20 7LL,51.3013153585378,0.466170568242092,AYL,5162.0,89309,AYLESFD
Aylesham,CT3 3AS,51.2272505439136,1.2094526827124,AYH,5197.0,89515,ALSHAM
Ayr,KA7 1TH,55.4581477383334,-4.62587677242484,AYR,9463.0,08618,AYRR
Bache,CH2 1BS,53.2087886904783,-2.89167051075084,BAC,2187.0,38306,BACHE
Baglan,SA12 8ES,51.615545271975,-3.81113654529303,BAJ,4186.0,79607,BGLAN
Bagshot,GU19 5AS,51.3643669407293,-0.688661997063008,BAG,5681.0,87102,BAGSHOT
Baildon,BD17 6HS,53.8502255005868,-1.75363638811678,BLD,8552.0,17038,BAILDON
Baillieston,G69 7RN,55.844505909339,-4.11369931815988,BIO,9763.0,07296,BALISTN
Balcombe,RH17 6JQ,51.0555201604538,-0.136933757536862,BAB,5492.0,87963,BALCOMB
Baldock,SG7 5BU,51.9928698318742,-0.187563753520231,BDK,6084.0,53015,BALDOCK
Balham,SW12 9SG,51.4432234163815,-0.152424495700288,BAL,5399.0,87222,BALHAM
Balloch,G83 8SS,56.0029392993731,-4.58348654319574,BHC,9862.0,06121,BALLOCH
Balmossie,DD5 4QH,56.4745685552318,-2.83895622541232,BSI,9013.0,03040,BALMOSS
Bamber Bridge,PR5 6EA,53.7268691714662,-2.6607753764786,BMB,2561.0,30133,BMBRBDG
Bamford,S32 1EG,53.3390008432273,-1.68908191470249,BAM,2820.0,34011,BAMFORD
Banavie,PH33 7JF,56.8433146084024,-5.09542698683765,BNV,8839.0,06013,BANAVIE
Banbury,OX16 5AB,52.0603086671337,-1.32813289497966,BAN,4502.0,69424,BNBR
Bangor (Gwynedd),LL57 1LZ,53.2222875881889,-4.1358808597691,BNG,2471.0,40036,BANGOR
Bank Hall,L20 8BX,53.4374965462522,-2.98751189569183,BAH,2238.0,36075,BNKHALL
Banstead,SM7 1PZ,51.3293474848423,-0.213158931277083,BAD,5348.0,87677,BANSTED
Barassie,KA10 6SA,55.5610644543682,-4.65113966824502,BSS,9466.0,08411,BARASIE
Bardon Mill,NE47 7HY,54.9744957852522,-2.34650475516335,BLL,7563.0,13311,BRDNML
Bare Lane,LA4 6LL,54.0745443408907,-2.83533086719705,BAR,2690.0,11711,BARELA
Bargeddie,G69 7TS,55.8512961462984,-4.07380825280165,BGI,9764.0,07297,BRGDDIE
Bargoed,CF81 9AL,51.6923127611933,-3.22968013064506,BGD,4011.0,78351,BARGOED
Barking,IG11 8TU,51.5394928787692,0.0809024258638578,BKG,7492.0,51531,BARKING
Barking Riverside,IG11 0BF,51.519112,0.114769,BGV,1335.0,51533,BARKRIV
Barming,ME16 9NS,51.2848926922128,0.478958086821072,BMG,5133.0,89402,BARMING
Barmouth,LL42 1LS,52.7228954666472,-4.05659664341287,BRM,4445.0,64414,BRMOUTH
Barnehurst,DA7 6HQ,51.4649571594916,0.159646215915891,BNH,5089.0,88422,BRNHRST
Barnes,SW13 0HT,51.4670847781107,-0.242164290131055,BNS,5551.0,87149,BARNES
Barnes Bridge,SW13 0NP,51.4720072305495,-0.252630234454485,BNI,5580.0,87150,BNSBDGE
Barnetby,DN38 6DG,53.575120046432,-0.409679706265516,BTB,6406.0,21415,BNTBY
Barnham,PO22 0ER,50.8309058508596,-0.639679954401345,BAA,5252.0,86451,BRHM
Barnhill,G21 4NB,55.8774948886876,-4.22300584363342,BNL,9973.0,06523,BNHL
Barnsley,S71 1BP,53.5543015489003,-1.47716484028851,BNY,6774.0,24385,BNSLY
Barnstaple,EX31 2AU,51.0739744679973,-4.06311775092404,BNP,5725.0,83222,BRNSTPL
Barnt Green,B45 8PA,52.3610898378667,-1.99246673824797,BTG,1096.0,66525,BGRN
Barrhead,G78 1AA,55.8037583421428,-4.39728431394783,BRR,9674.0,07224,BRHD
Barrhill,KA26 0QF,55.0970106102442,-4.78178229089313,BRL,9467.0,08645,BRRHL
Barrow Haven,DN19 7ET,53.697419946542,-0.392955239385703,BAV,6212.0,21004,BARWHVN
Barrow-In-Furness,LA14 5QZ,54.1190037011827,-3.22612090695349,BIF,1954.0,11231,BAROW
Barrow-Upon-Soar,LE12 8US,52.7493358553102,-1.14484305880024,BWS,1903.0,59009,BAROWOS
Barry,CF62 8AF,51.3967862682376,-3.28498495899336,BRY,3805.0,78810,BARRY
Barry Docks,CF63 4LE,51.4024452836283,-3.26070393235989,BYD,3806.0,78805,BARRYDK
Barry Island,CF62 5TH,51.3924170726249,-3.27336400852697,BYI,3807.0,78817,BARRYIS
Barry Links,DD11 1PR,56.4931516826701,-2.74544214683501,BYL,9020.0,03038,BRRYLNK
Barton-On-Humber,DN18 5SJ,53.6889177395454,-0.44343673614012,BAU,6207.0,21001,BRTHMBR
Basildon,SS16 5XY,51.5681040297501,0.456788850539816,BSO,7494.0,51019,BASILDN
Basingstoke,RG21 5NB,51.2683569850094,-1.08726383162934,BSK,5520.0,86066,BSNGSTK
Bat and Ball,TN14 5AP,51.2897587469008,0.194227480292899,BBL,5090.0,89349,BATABAL
Bath Spa,BA1 1SU,51.3776883852266,-2.3570184714201,BTH,3271.0,81501,BATHSPA
Bathgate,EH48 1BA,55.8971563834902,-3.63609679157923,BHG,9311.0,04010,BTHGATE
Batley,WF17 5TA,53.7099423400798,-1.6229526318262,BTL,8484.0,18437,BATLEY
Battersby,TS9 6LT,54.457680170473,-1.09297186288525,BTT,7909.0,15511,BTRSBY
Battersea Park,SW8 4BH,51.4769582891996,-0.147533519657093,BAK,5420.0,87203,BATRSPK
Battle,TN33 0DE,50.9129130238687,0.494702777064857,BAT,5215.0,89398,BATTLE
Battlesbridge,SS11 7RG,51.624822766888,0.56528550890708,BLB,6870.0,50309,BTLSBDG
Bayford,SG13 8PH,51.7577148923117,-0.0956100209046352,BAY,6006.0,53243,BAYFORD
Beaconsfield,HP9 2PJ,51.6112905925788,-0.643822282354315,BCF,3047.0,73502,BCNSFLD
Bearley,CV37 0EU,52.2444115945748,-1.75025547969474,BER,2420.0,66454,BEARLEY
Bearsden,G61 4AN,55.9171345827093,-4.3320211452141,BRN,9966.0,06305,BSDN
Bearsted,ME14 4PH,51.2758187894535,0.577580355704965,BSD,5091.0,89404,BSTD
Beasdale,PH39 4NR,56.8995610683265,-5.76380325043513,BSL,8822.0,06005,BEASDAL
Beaulieu Park,CM3 3QW,51.7574,0.5187,BPA,,50224,BEULYPK
Beaulieu Road,SO42 7YQ,50.8550493435382,-1.50474962699015,BEU,5890.0,86896,BLIEURD
Beauly,IV4 7EF,57.4782879378611,-4.46986686037102,BEL,8877.0,01089,BEAULY
Bebington,CH63 7LA,53.3576570664328,-3.00363517233964,BEB,2188.0,38208,BEBNGTN
Beccles,NR34 9QJ,52.4585181871493,1.5694932615698,BCC,7258.0,49103,BECCLES
Beckenham Hill,SE6 3RE,51.4245808668055,-0.0159511139458484,BEC,5076.0,88472,BCKNHMH
Beckenham Junction,BR3 1HY,51.4111718661491,-0.0260225635677561,BKJ,5046.0,88315,BCKNHMJ
Bedford,MK40 1DS,52.1361864656103,-0.479442379912954,BDM,1512.0,62011,BEDFDM
Bedford St Johns,MK42 9AN,52.1294772366621,-0.467501028060375,BSJ,1510.0,62035,BESJOHN
Bedhampton,PO9 1LL,50.8539566355958,-0.99582843515536,BDH,5538.0,86339,BDHMPTN
Bedminster,BS3 4LU,51.4400904239394,-2.59414932604792,BMT,3245.0,81813,BDMNSTR
Bedworth,CV12 8JG,52.4792974206142,-1.46739223305473,BEH,1165.0,69106,BEDWRTH
Bedwyn,SN8 5RD,51.3796409426581,-1.59878627020561,BDW,3070.0,74816,BEDYN
Beeston,NG9 2AB,52.9207551214346,-1.20765801407939,BEE,1625.0,55212,BESTON
Bekesbourne,CT4 5EP,51.2613539349877,1.13670763163281,BKS,5198.0,89513,BEKSBRN
Belle Vue,M18 1AA,53.4623764935822,-2.18050724055323,BLV,2785.0,32061,BLLVUE
Bellgrove,G31 1SG,55.8567093051092,-4.22437490020632,BLG,9895.0,06701,BLGRVE
Bellingham,SE6 3BT,51.4329113825773,-0.0193308081217253,BGM,5062.0,88471,BELNGHM
Bellshill,ML4 1RJ,55.8170682424416,-4.02449996284266,BLH,9714.0,07429,BLSHL
Belmont,SM2 6BH,51.3438134158344,-0.198855124360003,BLM,5350.0,87675,BELM
Belper,DE56 1DA,53.0237591485711,-1.48251049959613,BLP,1679.0,57111,BELPER
Beltring,TN12 6QH,51.2047063375307,0.403495486821792,BEG,5227.0,89329,BLTRNAB
Belvedere,DA17 6JJ,51.4921162437256,0.152286098901381,BVD,5092.0,88602,BELVEDR
Bempton,YO15 1HN,54.1276580609781,-0.18045684367924,BEM,8047.0,19006,BEMPTON
Ben Rhydding,LS29 8ET,53.9257153348267,-1.79743026313235,BEY,8564.0,17054,BNRHYDN
Benfleet,SS7 1NF,51.5439424321207,0.561713345502072,BEF,7439.0,51014,BENFLET
Bentham,LA2 7LF,54.1155197017626,-2.51067651046258,BEN,2676.0,11563,BNTHAM
Bentley (Hampshire),GU10 5JZ,51.1812327932647,-0.868126900052275,BTY,5624.0,87024,BNTEY
Bentley (South Yorkshire),DN5 0BE,53.543936635355,-1.15094859528964,BYK,8352.0,23115,BTLYSY
Bere Alston,PL20 7EP,50.4855988011236,-4.20035543651004,BAS,3549.0,84207,BEREALS
Bere Ferrers,PL20 7JS,50.4512820780774,-4.18143518031599,BFE,3550.0,84205,BEREFRS
Berkhamsted,HP4 2AR,51.7631330812332,-0.562012981628892,BKM,1390.0,70421,BERKHMD
Berkswell,CV7 7EF,52.3958819317755,-1.64284047482006,BKW,1045.0,69211,BKSWELL
Bermuda Park,CV10 7JS,52.5014343619449,-1.47217775464212,BEP,6543.0,69103,BERMPRK
Berney Arms,NR30 1SB,52.5897827472666,1.63037533346209,BYA,7330.0,48066,BRNYARM
Berry Brow,HD4 7LP,53.6210419716152,-1.79343228301033,BBW,8431.0,18488,BERRYB
Berrylands,KT5 8LS,51.3990439366779,-0.280713667843256,BRS,5581.0,87170,BRLANDS
Berwick (Sussex),BN26 6TB,50.8403762860459,0.166017608785235,BRK,5323.0,88246,BERWICK
Berwick-Upon-Tweed,TD15 1NF,55.7743389009866,-2.01097357377303,BWK,7791.0,12001,BRWCKUT
Bescar Lane,L40 9QP,53.623855333027,-2.9146110021991,BES,2351.0,35018,BESCRLA
Bescot Stadium,WS1 4NH,52.5630947071172,-1.9911057185482,BSC,1003.0,65707,BSCTSTA
Betchworth,RH3 7BZ,51.2481879331766,-0.266973015200458,BTO,5472.0,87085,BTCHWTH
Bethnal Green Rail,E2 6JL,51.5239156627757,-0.0595680464428894,BET,6961.0,52739,BTHNLGR
Betws-y-Coed,LL24 0AE,53.0920709395504,-3.80086212197837,BYC,2449.0,40061,BETSYCD
Beverley,HU17 0AS,53.8422725915824,-0.422980126740875,BEV,8048.0,19023,BEVERLY
Bexhill,TN40 1EB,50.84103990242,0.477016592346932,BEX,5211.0,88275,BEXHILL
Bexley,DA5 1AQ,51.4402175270263,0.147902494716889,BXY,5093.0,88463,BEXLEY
Bexleyheath,DA7 4AA,51.4634982236074,0.133734871030645,BXH,5094.0,88421,BXLYHTH
Bicester North,OX26 6EF,51.9034829537461,-1.15038352192815,BCS,3048.0,69502,BCSTN
Bicester Village,OX26 6HU,51.8930236127002,-1.14876425178293,BIT,3104.0,74557,BCSTRTN
Bickley,BR1 2EB,51.4001024308637,0.0452405405139698,BKL,5063.0,88478,BICKLEY
Bidston,CH43 7RF,53.4091398593576,-3.07856110228132,BID,2136.0,38012,BDSTON
Biggleswade,SG18 8AL,52.0846785950736,-0.261187193156868,BIW,6170.0,45611,BIGLSWD
Bilbrook,WV8 1LE,52.6237197237583,-2.18608801838282,BBK,4618.0,65035,BILBROK
Billericay,CM12 0BP,51.6288812691945,0.418629610467223,BIC,6871.0,50327,BILERCY
Billingham,TS23 3TG,54.605606575355,-1.27971968622732,BIL,7910.0,15039,BLNGHM
Billingshurst,RH14 9SE,51.0152034952011,-0.450302232654151,BIG,5464.0,87951,BILSHST
Bingham,NG13 8TF,52.9541905628363,-0.95154335353279,BIN,6235.0,55625,BINGHAM
Bingley,BD16 2NA,53.8486154371384,-1.8373224993653,BIY,8553.0,17016,BNGY
Birchgrove,CF14 4SY,51.5215597229164,-3.20185379786194,BCG,3907.0,78387,BCHGRV
Birchington-On-Sea,CT7 9RD,51.3774886896266,1.3014083545974,BCH,5163.0,89479,BCNGNOS
Birchwood,WA3 7PU,53.4127205850305,-2.5253082468513,BWD,2304.0,36716,BIRCHWD
Birkbeck,BR3 4TA,51.4038899816034,-0.0557387405611835,BIK,5401.0,88312,BIRKBCK
Birkdale,PR8 4AF,53.6340528065899,-3.01445011129132,BDL,2352.0,36060,BKDLE
Birkenhead Central,CH41 9DB,53.3883166263867,-3.02082115838918,BKC,2217.0,38200,BRKNHDC
Birkenhead Hamilton Square,CH41 1AL,53.3946967251861,-3.01368016573114,BKQ,2219.0,38185,HAMTSQ
Birkenhead North,CH41 7AZ,53.4044379353974,-3.05753365912751,BKN,2145.0,38151,BRKNHDN
Birkenhead Park,CH41 8BT,53.3974085855031,-3.03910128885113,BKP,2220.0,38153,BRKNHDP
Birmingham International,B40 1PA,52.4508081112451,-1.72585685988124,BHI,1215.0,69215,BHAMINT
Birmingham Moor Street,B4 7UL,52.479080623723,-1.89247273057604,BMO,4515.0,66411,BHAMMRS
Birmingham New Street,B2 4QA,52.4778198092097,-1.9002055706822,BHM,1127.0,65630,BHAMNWS
Birmingham Snow Hill,B3 2BJ,52.4833566780576,-1.89908868312646,BSW,1006.0,66409,BHAMSNH
Bishop Auckland,DL14 7EJ,54.6571963763698,-1.67771509725951,BIA,7835.0,15826,BSAUKLD
Bishopbriggs,G64 1PE,55.9038831792009,-4.22491571705821,BBG,9940.0,06443,BSHB
Bishops Lydeard,TA4 3BX,51.0541,-3.1942,BIB,3446.0,83014,BSPSLYD
Bishops Stortford,CM23 3BL,51.8666894209812,0.16489410333554,BIS,6800.0,47412,BSHPSFD
Bishopstone (Sussex),BN25 2RB,50.7801416620368,0.082756921439231,BIP,5402.0,88238,BSSN
Bishopton (Renfrewshire),PA7 5AD,55.9022694882255,-4.5004875625329,BPT,9620.0,07132,BISHPTN
Bitterne,SO18 1GG,50.9182213632939,-1.37699961416727,BTE,5945.0,86216,BITERNE
Blackburn,BB1 1EX,53.7465184457461,-2.47912240276289,BBN,2737.0,29150,BLKB
Blackfriars,EC4V 4DY,51.51180819479,-0.103332073034139,BFR,5112.0,87245,BLFR
Blackheath,SE3 9LE,51.4657945200002,0.0088718708945201,BKH,5095.0,88416,BLKHTH
Blackhorse Road,E17 6NH,51.58660384873,-0.0412357433706351,BHO,7400.0,51555,BLCHSRD
Blackpool North,FY1 2AB,53.8219180942013,-3.04927516714828,BPN,2739.0,30021,BLCKPLN
Blackpool Pleasure Beach,FY4 1NY,53.7879555202556,-3.05387646984086,BPB,2738.0,30034,BLCKPB
Blackpool South,FY4 2FA,53.7987040263195,-3.04893832565541,BPS,2740.0,30033,BLCKS
Blackridge,EH48 3BW,55.8842557507999,-3.75079743413867,BKR,991.0,07328,BLKRDGE
Blackrod,BL6 5JH,53.5915244932358,-2.56952431744104,BLK,2732.0,30221,BLRD
